# From GOs_lib_files/regulons_in_gos_v5.pl on Mon Jun 15 17:12:05 2020
# Input = GUs_Regulon10.6.3_groups_complex_regulons/Regulon10.6.3_network_complex_regulons.txt
# GOs_lib_files/gene_gos.txt
# GOs_lib_files/go_uniq_levels_extended.txt
Group name	GO ID	GO level	Genes in group	Genes in GO	Percentage	GO name
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	GO:0050896	2	3	1	0.33	response to stimulus
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	GO:0006950	3	3	1	0.33	response to stress
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	GO:0009408	4	3	1	0.33	response to heat
Ada	GO:0008152	2	3	2	0.67	metabolic process
Ada	GO:0032259	3	3	1	0.33	methylation
Ada	GO:0055114	3	3	1	0.33	oxidation-reduction process
Ada	GO:0070989	4	3	1	0.33	oxidative demethylation
Ada	GO:0050896	2	3	3	1.00	response to stimulus
Ada	GO:0006950	3	3	3	1.00	response to stress
Ada	GO:0033554	4	3	3	1.00	cellular response to stress
Ada	GO:0006974	5	3	3	1.00	cellular response to DNA damage stimulus
Ada	GO:0006281	6	3	3	1.00	DNA repair
Ada	GO:0006284	7	3	1	0.33	base-excision repair
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	GO:0008152	2	2	2	1.00	metabolic process
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	GO:0055114	3	2	2	1.00	oxidation-reduction process
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	GO:0044238	3	2	2	1.00	primary metabolic process
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	GO:0006520	4	2	2	1.00	cellular amino acid metabolic process
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	GO:0008652	5	2	2	1.00	cellular amino acid biosynthetic process
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	GO:0006807	3	2	2	1.00	nitrogen compound metabolic process
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	GO:0019740	2	2	1	0.50	nitrogen utilization
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	GO:0019676	3	2	1	0.50	ammonia assimilation cycle
AgaR	GO:0008152	2	7	4	0.57	metabolic process
AgaR	GO:0071704	3	7	3	0.43	organic substance metabolic process
AgaR	GO:1901135	4	7	2	0.29	carbohydrate derivative metabolic process
AgaR	GO:0006040	5	7	1	0.14	amino sugar metabolic process
AgaR	GO:0006054	6	7	1	0.14	N-acetylneuraminate metabolic process
AgaR	GO:0019262	6	7	1	0.14	N-acetylneuraminate catabolic process
AgaR	GO:0046348	6	7	1	0.14	amino sugar catabolic process
AgaR	GO:0006047	5	7	1	0.14	UDP-N-acetylglucosamine metabolic process
AgaR	GO:0006048	6	7	1	0.14	UDP-N-acetylglucosamine biosynthetic process
AgaR	GO:1901137	5	7	1	0.14	carbohydrate derivative biosynthetic process
AgaR	GO:0009226	6	7	1	0.14	nucleotide-sugar biosynthetic process
AgaR	GO:0009225	5	7	1	0.14	nucleotide-sugar metabolic process
AgaR	GO:0005975	4	7	2	0.29	carbohydrate metabolic process
AgaR	GO:0044237	3	7	2	0.29	cellular metabolic process
AgaR	GO:0044248	4	7	1	0.14	cellular catabolic process
AgaR	GO:0017001	5	7	1	0.14	antibiotic catabolic process
AgaR	GO:0006793	4	7	2	0.29	phosphorus metabolic process
AgaR	GO:0006796	5	7	1	0.14	phosphate-containing compound metabolic process
AgaR	GO:0016310	6	7	1	0.14	phosphorylation
AgaR	GO:0006725	4	7	1	0.14	cellular aromatic compound metabolic process
AgaR	GO:0006139	4	7	1	0.14	nucleobase-containing compound metabolic process
AgaR	GO:0055086	5	7	1	0.14	nucleobase-containing small molecule metabolic process
AgaR	GO:0009056	3	7	1	0.14	catabolic process
AgaR	GO:0044238	3	7	2	0.29	primary metabolic process
AgaR_CRP	GO:0008152	2	3	2	0.67	metabolic process
AgaR_CRP	GO:0071704	3	3	1	0.33	organic substance metabolic process
AgaR_CRP	GO:0005975	4	3	1	0.33	carbohydrate metabolic process
AgaR_CRP	GO:0044237	3	3	1	0.33	cellular metabolic process
AgaR_CRP	GO:0006793	4	3	1	0.33	phosphorus metabolic process
AgaR_CRP	GO:0006796	5	3	1	0.33	phosphate-containing compound metabolic process
AgaR_CRP	GO:0016310	6	3	1	0.33	phosphorylation
AgaR_CRP	GO:0044238	3	3	1	0.33	primary metabolic process
AllR	GO:0008152	2	9	2	0.22	metabolic process
AllR	GO:0071704	3	9	1	0.11	organic substance metabolic process
AllR	GO:0006082	4	9	1	0.11	organic acid metabolic process
AllR	GO:0031388	5	9	1	0.11	organic acid phosphorylation
AllR	GO:0044237	3	9	1	0.11	cellular metabolic process
AllR	GO:0006793	4	9	1	0.11	phosphorus metabolic process
AllR	GO:0006796	5	9	1	0.11	phosphate-containing compound metabolic process
AllR	GO:0016310	6	9	1	0.11	phosphorylation
AllR	GO:0055114	3	9	1	0.11	oxidation-reduction process
AllR	GO:0050896	2	9	1	0.11	response to stimulus
AllR	GO:0006950	3	9	1	0.11	response to stress
AllR	GO:0033554	4	9	1	0.11	cellular response to stress
AllR	GO:0006974	5	9	1	0.11	cellular response to DNA damage stimulus
AllS	GO:0008152	2	3	1	0.33	metabolic process
AllS	GO:0055114	3	3	1	0.33	oxidation-reduction process
AlsR	GO:0008152	2	6	3	0.50	metabolic process
AlsR	GO:0071704	3	6	3	0.50	organic substance metabolic process
AlsR	GO:1901135	4	6	3	0.50	carbohydrate derivative metabolic process
AlsR	GO:0009052	5	6	1	0.17	pentose-phosphate shunt, non-oxidative branch
AlsR	GO:0051156	5	6	1	0.17	glucose 6-phosphate metabolic process
AlsR	GO:0006098	5	6	1	0.17	pentose-phosphate shunt
AlsR	GO:0005975	4	6	2	0.33	carbohydrate metabolic process
AlsR	GO:0044262	4	6	1	0.17	cellular carbohydrate metabolic process
AlsR	GO:0016052	5	6	1	0.17	carbohydrate catabolic process
AlsR	GO:0046365	6	6	1	0.17	monosaccharide catabolic process
AlsR	GO:0019323	7	6	1	0.17	pentose catabolic process
AlsR	GO:0005996	5	6	1	0.17	monosaccharide metabolic process
AlsR	GO:0044237	3	6	2	0.33	cellular metabolic process
AlsR	GO:0006793	4	6	1	0.17	phosphorus metabolic process
AlsR	GO:0006796	5	6	1	0.17	phosphate-containing compound metabolic process
AlsR	GO:0006091	4	6	2	0.33	generation of precursor metabolites and energy
AlsR	GO:0006740	4	6	1	0.17	NADPH regeneration
AlsR	GO:0055114	3	6	1	0.17	oxidation-reduction process
AlsR	GO:0006739	3	6	1	0.17	NADP metabolic process
AlsR	GO:0044238	3	6	2	0.33	primary metabolic process
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	GO:0008152	2	4	4	1.00	metabolic process
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	GO:0044237	3	4	3	0.75	cellular metabolic process
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	GO:0006091	4	4	3	0.75	generation of precursor metabolites and energy
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	GO:0022900	4	4	3	0.75	electron transport chain
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	GO:0022904	5	4	1	0.25	respiratory electron transport chain
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	GO:0055114	3	4	3	0.75	oxidation-reduction process
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	GO:0044238	3	4	1	0.25	primary metabolic process
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	GO:0019538	4	4	1	0.25	protein metabolic process
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	GO:0051604	5	4	1	0.25	protein maturation
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	GO:0016485	6	4	1	0.25	protein processing
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	GO:0006508	5	4	1	0.25	proteolysis
AppY_ArcA_YdeO	GO:0008152	2	3	3	1.00	metabolic process
AppY_ArcA_YdeO	GO:0044237	3	3	3	1.00	cellular metabolic process
AppY_ArcA_YdeO	GO:0006793	4	3	3	1.00	phosphorus metabolic process
AppY_ArcA_YdeO	GO:0006796	5	3	3	1.00	phosphate-containing compound metabolic process
AppY_ArcA_YdeO	GO:0016310	6	3	2	0.67	phosphorylation
AppY_ArcA_YdeO	GO:0006119	4	3	2	0.67	oxidative phosphorylation
AppY_ArcA_YdeO	GO:0016311	6	3	1	0.33	dephosphorylation
AppY_ArcA_YdeO	GO:0006091	4	3	2	0.67	generation of precursor metabolites and energy
AppY_ArcA_YdeO	GO:0022900	4	3	2	0.67	electron transport chain
AppY_ArcA_YdeO	GO:0022904	5	3	2	0.67	respiratory electron transport chain
AppY_ArcA_YdeO	GO:0019646	6	3	2	0.67	aerobic electron transport chain
AppY_ArcA_YdeO	GO:0055114	3	3	2	0.67	oxidation-reduction process
AppY_ArcA_YdeO	GO:0046034	3	3	2	0.67	ATP metabolic process
AppY_ArcA_YdeO	GO:0050896	2	3	1	0.33	response to stimulus
AppY_ArcA_YdeO	GO:0006950	3	3	1	0.33	response to stress
AppY_ArcA_YdeO	GO:0033554	4	3	1	0.33	cellular response to stress
AppY_ArcA_YdeO	GO:0071454	5	3	1	0.33	cellular response to anoxia
AppY_ArcA_YdeO	GO:0009267	5	3	1	0.33	cellular response to starvation
AppY_ArcA_YdeO	GO:0016036	6	3	1	0.33	cellular response to phosphate starvation
AppY_ArcA_YdeO	GO:0042594	4	3	1	0.33	response to starvation
AraC_CRP	GO:0008152	2	9	4	0.44	metabolic process
AraC_CRP	GO:0071704	3	9	3	0.33	organic substance metabolic process
AraC_CRP	GO:0005975	4	9	3	0.33	carbohydrate metabolic process
AraC_CRP	GO:0044262	4	9	1	0.11	cellular carbohydrate metabolic process
AraC_CRP	GO:0046835	5	9	1	0.11	carbohydrate phosphorylation
AraC_CRP	GO:0016052	5	9	3	0.33	carbohydrate catabolic process
AraC_CRP	GO:0046365	6	9	3	0.33	monosaccharide catabolic process
AraC_CRP	GO:0019323	7	9	3	0.33	pentose catabolic process
AraC_CRP	GO:0019568	8	9	3	0.33	arabinose catabolic process
AraC_CRP	GO:0019572	9	9	3	0.33	L-arabinose catabolic process
AraC_CRP	GO:0019569	10	9	3	0.33	L-arabinose catabolic process to xylulose 5-phosphate
AraC_CRP	GO:0005996	5	9	3	0.33	monosaccharide metabolic process
AraC_CRP	GO:0044237	3	9	1	0.11	cellular metabolic process
AraC_CRP	GO:0006793	4	9	1	0.11	phosphorus metabolic process
AraC_CRP	GO:0006796	5	9	1	0.11	phosphate-containing compound metabolic process
AraC_CRP	GO:0016310	6	9	1	0.11	phosphorylation
AraC_CRP	GO:0044238	3	9	4	0.44	primary metabolic process
AraC_CRP	GO:0006520	4	9	1	0.11	cellular amino acid metabolic process
AraC_CRP	GO:0006807	3	9	1	0.11	nitrogen compound metabolic process
AraC_CRP_XylR	GO:0008152	2	3	3	1.00	metabolic process
AraC_CRP_XylR	GO:0071704	3	3	3	1.00	organic substance metabolic process
AraC_CRP_XylR	GO:0005975	4	3	3	1.00	carbohydrate metabolic process
AraC_CRP_XylR	GO:0044262	4	3	1	0.33	cellular carbohydrate metabolic process
AraC_CRP_XylR	GO:0046835	5	3	1	0.33	carbohydrate phosphorylation
AraC_CRP_XylR	GO:0016052	5	3	3	1.00	carbohydrate catabolic process
AraC_CRP_XylR	GO:0046365	6	3	3	1.00	monosaccharide catabolic process
AraC_CRP_XylR	GO:0019323	7	3	3	1.00	pentose catabolic process
AraC_CRP_XylR	GO:0019568	8	3	1	0.33	arabinose catabolic process
AraC_CRP_XylR	GO:0042843	8	3	2	0.67	D-xylose catabolic process
AraC_CRP_XylR	GO:0005998	8	3	1	0.33	xylulose catabolic process
AraC_CRP_XylR	GO:0005996	5	3	3	1.00	monosaccharide metabolic process
