# From extend_go_genes.pl on Tue Apr 21 11:35:37 2020
# Input = gos_table.txt
# Genes	GO	GO branch
aaeA	GO:0006810	P
aaeB	GO:0006810	P
abgT	GO:0006810	P
acrA	GO:0006810	P
acrB	GO:0006810	P
acrD	GO:0006810	P
acrE	GO:0006810	P
acrF	GO:0006810	P
acrZ	GO:0006810	P
actP	GO:0006810	P
adeP	GO:0006810	P
adeQ	GO:0006810	P
adiC	GO:0006810	P
afuC	GO:0006810	P
agaB	GO:0006810	P
agaC	GO:0006810	P
agaD	GO:0006810	P
agaS	GO:0006810	P
agaV	GO:0006810	P
agaW	GO:0006810	P
alaE	GO:0006810	P
alsA	GO:0006810	P
alsB	GO:0006810	P
alsC	GO:0006810	P
ampG	GO:0006810	P
amtB	GO:0006810	P
ansP	GO:0006810	P
aqpZ	GO:0006810	P
araE	GO:0006810	P
araF	GO:0006810	P
araG	GO:0006810	P
araH	GO:0006810	P
araJ	GO:0006810	P
argO	GO:0006810	P
argT	GO:0006810	P
arnE	GO:0006810	P
arnF	GO:0006810	P
aroP	GO:0006810	P
arsB	GO:0006810	P
artI	GO:0006810	P
artJ	GO:0006810	P
artM	GO:0006810	P
artP	GO:0006810	P
artQ	GO:0006810	P
ascF	GO:0006810	P
atpA	GO:0006810	P
atpB	GO:0006810	P
atpC	GO:0006810	P
atpD	GO:0006810	P
atpE	GO:0006810	P
atpF	GO:0006810	P
atpG	GO:0006810	P
atpH	GO:0006810	P
atpI	GO:0006810	P
bcr	GO:0006810	P
betT	GO:0006810	P
bfr	GO:0006810	P
bglF	GO:0006810	P
bglH	GO:0006810	P
bioP	GO:0006810	P
brnQ	GO:0006810	P
btsT	GO:0006810	P
btuB	GO:0006810	P
btuC	GO:0006810	P
btuD	GO:0006810	P
btuE	GO:0006810	P
btuF	GO:0006810	P
cadB	GO:0006810	P
caiT	GO:0006810	P
ccmA	GO:0006810	P
ccmB	GO:0006810	P
ccmC	GO:0006810	P
ccmD	GO:0006810	P
ccmE	GO:0006810	P
ccmF	GO:0006810	P
chaA	GO:0006810	P
chbA	GO:0006810	P
chbB	GO:0006810	P
chbC	GO:0006810	P
chiP	GO:0006810	P
