# From /Users/Daniela/Documents/CCG/GU_art_2/GO_levels_extended/scripts/extend_go_genes.pl on Mon Oct  1 12:06:18 2018
# Input = /Users/Daniela/Documents/CCG/datasets/GOs/gos_complete_table_BPonly.txt
# GO ID	Branch	Name	Genes	Children	Parents
GO:0000001	P	mitochondrion inheritance			GO:0048311,GO:0048308,
GO:0000002	P	mitochondrial genome maintenance		GO:0033955,	GO:0007005,
GO:0000003	P	reproduction		GO:0032504,GO:0019953,GO:0061887,GO:0019954,GO:0032505,	GO:0008150,
GO:0000011	P	vacuole inheritance			GO:0007033,GO:0048308,
GO:0000012	P	single strand break repair		GO:1903823,GO:1990396,	GO:0006281,
GO:0000017	P	alpha-glucoside transport			GO:0042946,
GO:0000018	P	regulation of DNA recombination	mutH,mutL,mutS,rdgC,	GO:0045191,GO:1903110,GO:0010569,GO:0072695,GO:0045910,GO:0000019,GO:0000337,GO:0045911,GO:0061806,GO:0010520,GO:0060542,	GO:0051052,
GO:0000019	P	regulation of mitotic recombination		GO:0045950,GO:0032207,GO:1903221,GO:0045951,	GO:0000018,
GO:0000020	P	obsolete negative regulation of recombination within rDNA repeats			
GO:0000022	P	mitotic spindle elongation			GO:0051231,GO:1903047,
GO:0000023	P	maltose metabolic process	malQ,	GO:0000025,GO:0000024,	GO:0005984,
GO:0000024	P	maltose biosynthetic process			GO:0046351,GO:0000023,
GO:0000025	P	maltose catabolic process	malQ,		GO:0046352,GO:0000023,
GO:0000027	P	ribosomal large subunit assembly	bipA,dbpA,deaD,der,rlmE,rluD,rplE,rplF,rplK,rplT,rplW,srmB,yhbY,	GO:1902775,	GO:0022618,
GO:0000028	P	ribosomal small subunit assembly	era,rimM,rimP,rpsG,rpsK,rpsP,rpsS,rsmA,yhbY,		GO:0022618,
GO:0000032	P	cell wall mannoprotein biosynthetic process	manA,		GO:0031506,GO:0006057,
GO:0000038	P	very long-chain fatty acid metabolic process		GO:0042760,GO:0042761,	GO:0006631,
