# From get_uniq_lowest_levels_v2.pl on Tue Apr 21 11:50:01 2020
# Input = all_go_levels_extended.txt
GO ID	GO level	Total Genes	Genes in GO	GO name
GO:0008152	2	1580	aas,aat,abgA,abgB,accA,accB,accC,accD,aceA,aceB,aceE,aceF,aceK,ackA,acnA,acnB,acpH,acpP,acpS,acpT,acs,ada,add,adhE,adhP,adiA,adk,aegA,aes,agaB,agaI,agaS,agaV,agp,ahpC,ahpF,ahr,aidB,ais,alaA,alaC,aldA,aldB,alkB,allD,alsE,alsK,alsR,amn,ampC,ampH,amyA,anmK,ansA,ansB,apaH,aphA,appA,appB,appC,apt,araA,araB,araC,araD,arcB,argA,argB,argC,argD,argE,argF,argG,argH,argI,argR,arnA,arnB,arnC,arnD,arnE,arnF,arnT,aroA,aroB,aroC,aroD,aroE,aroF,aroG,aroH,aroK,aroL,arsC,ascB,ascF,asd,aslB,asnA,asnB,aspA,aspC,astC,astD,atoA,atoB,atoD,atoS,atpA,atpB,atpC,atpD,atpE,atpF,atpG,atpH,avtA,azoR,bacA,baeS,barA,basS,bcp,bcsA,bcsB,bcsZ,bdcA,bepA,betA,betB,bfd,bfr,bglA,bglB,bglF,bglX,bioA,bioB,bioC,bioD,bioD2,bioF,bioH,birA,bisC,blc,btsS,btuE,btuR,cadA,caiA,carA,carB,cbl,cbrA,cca,ccmG,ccmH,ccp,cdd,cdh,cdsA,cfa,chaC,chbB,chbF,chbG,cheA,cheB,cheR,cheW,cheY,cheZ,chiA,citC,citG,citX,clpA,clpB,clpP,clpS,clpX,clsA,clsB,clsC,cmk,cmoM,cmtA,cmtB,cnoX,coaA,coaD,coaE,cobC,cobS,cobT,cobU,codA,cof,cpdB,cpsB,cpsG,cpxA,cra,creC,crr,csdA,csgA,csgB,cueO,curA,cusS,cvpA,cyaA,cyaY,cybB,cydA,cydB,cydX,cynS,cynT,cynX,cyoA,cyoB,cyoC,cyoD,cyoE,cysB,cysC,cysD,cysE,cysG,cysH,cysI,cysJ,cysK,cysM,cysN,cysP,cysQ,cysZ,cyuA,cyuP,dacA,dacB,dacC,dacD,dadA,dadX,dam,dapA,dapB,dapD,dapE,dapF,dcd,dcm,dcp,dcuA,dcuS,dcyD,ddpX,decR,degP,degQ,degS,deoA,deoB,deoC,deoD,dfp,dgcZ,dgkA,dgoA,dgoD,dgoK,dgt,dhaK,dhaL,dhaM,diaA,dinG,dkgA,dkgB,dld,dmlA,dmsA,dmsB,dmsC,dnaJ,dpiB,dps,dsbA,dsbB,dsbC,dsbD,dsbG,dsdA,dtd,dusA,dusB,dusC,dut,dxr,dxs,ebgA,eda,edd,efeB,elaD,elbB,emrE,eno,entA,entB,entC,entE,entF,envC,envZ,epd,epmC,eptA,eptB,eptC,era,erpA,etk,etp,eutB,eutC,eutE,eutG,eutT,evgS,fabA,fabB,fabD,fabF,fabG,fabH,fabI,fabR,fabZ,fadA,fadB,fadD,fadE,fadH,fadI,fadJ,fadK,fadM,fadR,fau,fbaA,fbaB,fbp,fcl,fdhD,fdhE,fdhF,fdnG,fdnH,fdnI,fdoG,fdoH,fdoI,fdrA,fdx,feaB,fepE,fixA,fixB,fixC,fixX,fldA,fldB,flgJ,fliI,fmt,folA,folB,folC,folD,folE,folK,folM,folP,folX,fpr,frdA,frdB,fre,frlA,frlB,frlC,frlD,frmA,frmB,fruA,fruB,fruK,frvA,frvB,frvR,frvX,frwB,frwD,fryA,fryB,fsaA,fsaB,ftnA,ftnB,ftsH,ftsI,ftsP,fucA,fucI,fucK,fucO,fucP,fucR,fucU,fumA,fumB,fumC,gabD,gabP,gabT,galE,galF,galK,galM,galR,galT,galU,gapA,garK,garR,gatA,gatD,gatY,gcd,gcvP,gcvT,gdhA,ggt,ghrA,ghrB,glaH,glcB,glcD,glcE,glcF,gldA,glf,glgB,glgC,glgP,glgX,glk,glmM,glmS,glmU,glnA,glnD,glnE,glnL,gloA,gloB,gloC,glpA,glpB,glpC,glpD,glpG,glpK,glpQ,glpX,glrK,gltA,gltB,gltD,gltX,glvB,glvG,glxK,glxR,glyA,gmd,gmhA,gmhB,gmk,gmm,gnd,gnsB,gntK,gntP,gntR,gntT,gor,gph,gpmA,gpmM,gpp,gpr,gpsA,gpt,grxA,grxB,grxC,grxD,gshA,gshB,gsk,gspO,gss,gstB,guaA,guaB,guaC,gudX,gutQ,hcaB,hcaC,hcaD,hcaE,hcaF,hchA,hcp,hcr,hcxA,hcxB,hdhA,hemA,hemB,hemC,hemD,hemE,hemF,hemG,hemH,hemL,hemN,hemW,hemY,hflX,hinT,hipA,hisA,hisB,hisC,hisD,hisF,hisG,hisH,hisI,hisL,hldE,hmp,hpf,hprS,hpt,hscA,hscB,hsdM,hslU,hslV,htpX,hxpA,hxpB,hyaA,hyaB,hyaC,hyaD,hybA,hybB,hybC,hybD,hybE,hybF,hybG,hybO,hycB,hycC,hycD,hycE,hycF,hycG,hycI,hydN,hyfA,hyfB,hyfC,hyfD,hyfE,hyfF,hyfG,hyfH,hyfI,hyfJ,hypA,hypB,hypC,hypD,hypE,hypF,iaaA,iadA,iap,icd,iclR,idi,idnD,idnK,idnO,idnT,ilvA,ilvB,ilvC,ilvD,ilvE,ilvH,ilvI,ilvL,ilvM,ilvN,ilvY,infA,infB,infC,iscA,iscS,iscU,iscX,ispA,ispB,ispD,ispE,ispF,ispG,ispH,ivbL,katE,katG,kbaY,kbaZ,kbl,kdgK,kdpD,kdsA,kdsB,kdsC,kdsD,kduD,kduI,kefF,kefG,lacZ,lapA,lapB,ldcA,ldcC,ldhA,ldtA,ldtB,ldtC,ldtD,ldtE,lepB,leuA,leuB,leuC,leuD,leuL,lexA,lgoD,lgoR,lgt,lhgD,lipA,lipB,lit,lldD,lnt,loiP,lolB,lon,lpd,lplA,lplT,lpp,lpxA,lpxB,lpxC,lpxD,lpxH,lpxK,lpxL,lpxM,lpxP,lpxT,lspA,lsrG,lsrK,ltaE,lysA,lysC,lyxK,maeA,maeB,mak,malP,malQ,malS,malT,malX,malY,malZ,manA,manX,map,mcbA,mdaB,mdh,melA,menF,mepA,mepH,mepM,mepS,metA,metB,metC,metE,metF,metH,metJ,metK,metL,metR,mhpA,mhpB,mhpC,mhpD,mhpE,mhpF,mhpR,mioC,mlc,mmuM,mmuP,mngA,mngB,mnmC,moaA,moaB,moaC,moaD,moaE,mobA,mobB,mocA,moeA,moeB,mog,mpaA,mpl,mqo,mrcA,mrcB,mrdA,mrp,msrA,msrB,msrC,msrP,msrQ,mtfA,mtlA,mtlD,mtn,murA,murB,murC,murD,murE,murF,murG,murI,murP,murQ,murR,mutM,mutY,nadA,nadB,nadC,nadD,nadE,nadK,nadR,nagA,nagB,nagC,nagE,nagK,nagZ,nanA,nanE,nanK,nanM,nanS,napA,napB,napC,napG,napH,narG,narH,narI,narQ,narV,narX,narY,narZ,ndh,ndk,nei,nemA,nfeF,nfsA,nfsB,nfuA,nirB,nirD,nlpC,nlpD,nnr,norV,norW,npr,nrdA,nrdB,nrdD,nrdE,nrdF,nrdG,nrdH,nrfA,nrfB,nrfC,nrfD,nth,nudB,nudC,nudE,nudF,nudK,nudL,nuoA,nuoB,nuoC,nuoE,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,nuoN,ogt,ompT,opgB,opgC,opgD,opgG,osmC,otnC,otsA,otsB,oxc,paaA,paaB,paaC,paaD,paaE,paaF,paaG,paaH,paaI,paaJ,paaK,paaX,paaY,paaZ,pabA,pabB,pabC,pagP,panB,panC,panD,panE,panZ,paoA,paoB,paoC,patD,pbpC,pbpG,pck,pcm,pdxA,pdxB,pdxH,pdxI,pdxJ,pdxK,pdxY,pepA,pepB,pepD,pepE,pepN,pepP,pepQ,pepT,pfkA,pfkB,pflA,pflB,pflC,pgaB,pgeF,pgi,pgk,pgl,pgm,pgpA,pgpB,pgpC,pgsA,pheA,phnN,phoA,phoQ,phoR,php,pldA,pldB,plsB,plsC,plsX,plsY,pmbA,pncA,pncB,pncC,pntA,pntB,polA,poxB,ppa,ppc,pphA,pphB,pphC,ppk,pppA,ppsA,ppsR,pptA,ppx,pqqL,prc,preA,preT,prkB,prlC,prmA,prmB,prmC,proA,proB,proC,prpC,prpD,prs,psd,pssA,psuG,psuK,pta,pth,ptrA,ptrB,ptsA,ptsG,ptsH,ptsI,ptsN,ptsP,purA,purB,purC,purD,purE,purF,purH,purK,purL,purM,purN,purR,purT,purU,putA,puuA,puuB,puuC,puuE,pxpA,pykA,pykF,pyrB,pyrC,pyrD,pyrE,pyrF,pyrG,pyrH,pyrI,pyrL,pyrS,qorA,qorB,qseC,queF,queG,raiA,rbsD,rbsK,rclA,rcsC,rcsD,rdgB,recQ,relA,rfaD,rfbA,rfbB,rfbC,rfbD,rfbX,rfe,rffC,rffG,rffH,rffM,rhaA,rhaB,rhaD,rhaM,rhaR,rhaS,rhmD,ribD,ribF,ridA,rihA,rihB,rihC,rimI,rimJ,rimL,rlhA,rlmA,rlmB,rlmC,rlmD,rlmE,rlmF,rlmG,rlmH,rlmI,rlmJ,rlmL,rlmM,rlmN,rnd,roxA,rpe,rpiA,rpiB,rpmE,rrrD,rrrQ,rseP,rsmA,rsmB,rsmC,rsmD,rsmE,rsmF,rsmG,rsmH,rsmI,rsmJ,rspA,rspB,rssA,rstB,rsxA,rsxB,rsxC,rsxD,rsxE,rsxG,rutA,rutC,rutE,rutF,rzpD,sad,sbp,scpB,sdaA,sdaB,sdhA,sdhB,sdhC,sdhD,selD,selU,serA,serB,serC,sgbE,sgbH,sgbU,sgcA,sgcB,sgcE,sgcX,sixA,skp,slyD,sodA,sodB,sodC,sohB,solA,speC,speD,speF,spoT,sppA,srkA,srlB,srlD,srlE,sseA,ssuA,ssuB,ssuC,ssuD,ssuE,sthA,sucA,sucB,sucC,sucD,sufA,sufB,sufC,sufD,sufE,sufS,suhB,talA,talB,tam,tas,tauD,tdcB,tdcD,tdcE,tdcG,tdh,tdk,tehB,tesA,tesB,thiC,thiD,thiE,thiF,thiG,thiH,thiI,thiK,thiL,thiM,thiS,thrA,thrB,thrC,thrL,thyA,tktA,tktB,tldD,tmk,tnaA,tnaB,torA,torC,torD,torS,torY,torZ,tpiA,tpx,treA,treB,treC,treF,trmA,trmD,trmH,trmI,trmJ,trmL,trmO,trpA,trpB,trpC,trpD,trpE,trpL,trxA,trxB,trxC,tsaB,tsaD,tsaE,ttdA,tusA,tynA,tyrA,tyrB,tyrR,ubiB,ubiE,ubiF,ubiG,ubiH,ubiI,ubiX,ucpA,udk,udp,ugd,ugpQ,uhpB,uidA,ulaB,ulaC,ulaD,ulaE,ulaF,ulaG,umpG,umpH,umuD,upp,uppS,usg,ushA,uspG,uxaA,uxaB,uxaC,uxuA,uxuB,waaA,waaB,waaC,waaF,waaG,waaJ,waaL,waaO,waaP,waaQ,waaS,waaU,waaY,waaZ,wbbH,wbbI,wbbJ,wbbK,wcaA,wcaB,wcaC,wcaD,wcaE,wcaF,wcaI,wcaJ,wcaK,wcaL,wcaM,wecB,wecC,wecE,wecF,wecH,wrbA,wza,wzb,wzc,wzxC,wzxE,wzyE,wzzB,wzzE,xapA,xapB,xdhA,xdhB,xdhC,xdhD,xylA,xylB,yadE,yadI,yaeF,yaeI,yafE,yafL,yafS,yafV,yagE,yagF,yagH,yahF,yahI,yahK,yajL,yajO,ybbO,ybcF,ybdL,ybdR,ybdZ,ybeY,ybgC,ybhA,ybhJ,ybiA,ybiB,ybiV,ybiW,ybiX,ybiY,ybjI,ycaK,ycaL,ycbX,ycbZ,yccM,ycdX,yceJ,yceM,yciA,yciH,yciK,yciV,ycjG,ycjM,ycjQ,ycjR,ycjS,ycjT,ycjU,ydbK,ydcR,yddE,ydeM,ydeP,ydfG,ydfI,ydgD,ydgJ,ydhF,ydhR,ydhU,ydhV,ydiB,ydiF,ydiJ,ydiO,ydiQ,ydiR,ydiS,ydiT,ydjA,ydjG,ydjH,ydjI,ydjJ,ydjL,yeaD,yeaE,yeaG,yeaW,yeaX,yebK,yedK,yedP,yeeS,yegI,yegQ,yegS,yegV,yegX,yeiG,yeiI,yeiQ,yfaE,yfaL,yfaU,yfbL,yfbR,yfcF,yfcG,yfdG,yfdR,yfeW,yfeX,yfgD,yfhH,yfhL,yfiC,yfiF,yfjU,yfjY,ygbJ,ygbK,ygbL,ygbM,ygcE,ygcN,ygcO,ygcQ,ygcR,ygcU,ygcW,ygeA,ygeR,ygeW,ygeX,ygeY,ygfF,ygfK,ygfM,ygfS,ygfT,ygfZ,yggC,yggF,yggP,yghA,yghU,ygiD,ygiN,ygjK,ygjP,ygjR,yhbO,yhbU,yhbV,yhbW,yhdH,yhdJ,yheT,yhfS,yhfW,yhgF,yhgH,yhhW,yhhX,yhjJ,yiaK,yiaY,yibF,yibQ,yicI,yicR,yidA,yidK,yidR,yieF,yieH,yieK,yieL,yifB,yigB,yigL,yihQ,yihR,yihS,yihT,yihU,yihV,yihX,yiiM,yjcS,yjfP,yjhC,yjhG,yjhH,yjiA,yjiR,yjjG,yjjI,yjjJ,yjjU,yjjW,yjjX,yjtD,ykfG,ykgE,ykgF,ykgJ,yliI,ymdB,ynbA,ynbD,ynfE,ynfF,ynfG,ynfH,ynfK,yniA,ynjA,ynjE,ynjF,yoaA,yobB,yodB,yohF,ypdE,ypdF,ypdI,yphB,yphC,yqaB,yqcA,yqeA,yqeC,yqeF,yqgF,yqhD,yqjG,yraR,yrfG,ysaA,ytfB,ytfE,ytjC,zraS,zwf,	metabolic process
GO:0006734	3	1	nudC,	NADH metabolic process
GO:0071704	3	450	aas,accA,accB,accC,accD,aceA,aceB,aceE,aceF,aceK,ackA,acnA,acnB,acpH,acpP,acpS,acpT,agaI,agaS,agp,ahr,ais,aldA,alsE,alsK,alsR,amyA,anmK,araA,araB,araC,araD,arnA,arnB,arnC,arnD,arnE,arnF,arnT,ascB,atoA,atoB,atoD,bcsA,bcsB,bcsZ,bglA,bglB,bglX,blc,cdh,cdsA,cfa,chbF,chbG,chiA,clsA,clsB,clsC,cpsB,cpsG,cra,cynS,cynT,cynX,cysQ,deoC,dgkA,dgoA,dgoD,dgoK,dhaK,diaA,dkgA,dkgB,dxr,dxs,ebgA,edd,elbB,eno,epd,eptA,eptB,eptC,etk,fabA,fabB,fabD,fabF,fabG,fabH,fabI,fabR,fabZ,fadA,fadB,fadD,fadE,fadH,fadI,fadJ,fadK,fadM,fadR,fbaA,fbaB,fbp,fcl,fepE,fixB,frlB,frlC,frlD,fruK,fsaA,fsaB,fucA,fucI,fucK,fucO,fucP,fucR,fucU,galE,galF,galK,galM,galR,galT,galU,gapA,garK,gatY,gcd,ghrB,glcB,glf,glgB,glgC,glgP,glgX,glk,glmM,glmS,glmU,glpK,glpQ,glpX,glvG,glxK,gmd,gmhA,gmhB,gmm,gnd,gnsB,gntK,gntP,gntR,gntT,gph,gpmA,gpmM,gpsA,grxA,grxC,gsk,gutQ,hdhA,hldE,hxpA,hxpB,icd,iclR,idi,idnD,idnK,idnO,idnT,ispA,ispB,ispD,ispE,ispF,ispG,ispH,kbaY,kbaZ,kdgK,kdsA,kdsB,kdsC,kdsD,kduD,kduI,lacZ,lapA,lapB,lgoD,lgoR,lipA,lipB,lldD,lpd,lplT,lpp,lpxA,lpxB,lpxC,lpxD,lpxH,lpxK,lpxL,lpxM,lpxP,lpxT,lsrK,lyxK,maeA,mak,malP,malQ,malS,malT,malZ,manA,mcbA,mdh,melA,mlc,mngB,murA,murG,murQ,murR,nagA,nagB,nagC,nagK,nagZ,nanA,nanE,nanK,nanM,nanS,nemA,nrdA,nrdB,nrdD,nrdE,nrdF,nudE,nudF,nudK,opgB,opgC,opgD,opgG,otnC,oxc,paaF,paaG,paaH,paaJ,pagP,pck,pfkA,pfkB,pflA,pflB,pflC,pgaB,pgi,pgk,pgl,pgm,pgpA,pgpB,pgpC,pgsA,phnN,pldA,pldB,plsB,plsC,plsX,plsY,ppc,ppsA,prkB,prpC,psd,pssA,psuK,pxpA,pykA,pykF,rbsD,rbsK,rfaD,rfbA,rfbB,rfbC,rfbD,rfbX,rfe,rffC,rffG,rffH,rffM,rhaA,rhaB,rhaD,rhaM,rhaR,rhaS,rpe,rpiA,rpiB,rssA,scpB,sdaA,sdaB,sgbE,sgbH,sgbU,sgcE,sucA,suhB,talA,talB,tdcD,tdcE,tdcG,tesA,tesB,tktA,tktB,tpiA,treC,ugd,ugpQ,uidA,ulaD,ulaE,ulaF,ulaG,umpH,uppS,uxaA,uxaB,uxaC,uxuA,uxuB,waaA,waaB,waaC,waaF,waaG,waaJ,waaL,waaO,waaP,waaQ,waaS,waaU,waaY,waaZ,wbbH,wbbI,wbbJ,wbbK,wcaA,wcaB,wcaC,wcaD,wcaE,wcaF,wcaI,wcaJ,wcaK,wcaL,wcaM,wecB,wecC,wecE,wecF,wecH,wza,wzb,wzc,wzxC,wzxE,wzyE,wzzB,wzzE,xylA,xylB,yadE,yaeI,yagE,yagF,yagH,yajO,ybgC,ybiA,ybiW,yciA,ycjM,ycjR,ycjT,ycjU,ydiF,ydiR,ydjH,ydjI,yeaD,yebK,yegS,yegX,yeiI,yfdG,yfhH,ygbJ,ygbK,ygbL,ygbM,ygcE,yggF,yheT,yibQ,yicI,yidK,yidR,yieK,yieL,yihQ,yihR,yihV,yjhG,yjhH,yjjU,ynbA,ynjF,ypdI,yphB,yqeF,ytjC,zwf,	organic substance metabolic process
GO:1901135	4	148	agaI,agaS,alsE,alsK,alsR,anmK,arnA,arnB,arnC,arnD,arnE,arnF,arnT,bcsA,bcsB,cpsB,cpsG,diaA,dxs,eptA,eptB,eptC,etk,fbp,fcl,fepE,frlB,frlC,galE,galF,galU,glf,glk,glmM,glmS,glmU,glpX,gmd,gmhA,gmhB,gmm,gnd,gpsA,grxA,grxC,gutQ,hldE,kdsA,kdsB,kdsC,kdsD,lpxL,lpxM,lpxP,lpxT,manA,mcbA,murA,murQ,murR,nagA,nagB,nanA,nanE,nanK,nanS,nrdA,nrdB,nrdD,nrdE,nrdF,nudE,nudF,nudK,opgB,pfkA,pgi,pgl,rfaD,rfbA,rfbB,rfbC,rfbD,rfbX,rfe,rffC,rffG,rffH,rffM,rpe,rpiA,rpiB,sgcE,talA,talB,tktA,tktB,tpiA,ugd,waaA,waaB,waaC,waaF,waaG,waaJ,waaL,waaO,waaP,waaQ,waaS,waaU,waaY,waaZ,wbbH,wbbI,wbbJ,wbbK,wcaA,wcaB,wcaC,wcaD,wcaE,wcaF,wcaI,wcaJ,wcaK,wcaL,wcaM,wecB,wecC,wecE,wecF,wecH,wza,wzb,wzc,wzxC,wzxE,wzyE,wzzB,wzzE,ybiA,yebK,yfhH,yggF,yieK,ypdI,zwf,	carbohydrate derivative metabolic process
GO:0006002	5	4	fbp,frlB,glmS,pfkA,	fructose 6-phosphate metabolic process
GO:0019693	5	3	nudE,nudF,nudK,	ribose phosphate metabolic process
GO:0009052	5	7	alsE,rpe,rpiA,sgcE,talB,tktA,tktB,	pentose-phosphate shunt, non-oxidative branch
GO:0046377	5	22	cpsB,fcl,galE,galU,gmd,manA,mcbA,ugd,wcaA,wcaB,wcaC,wcaD,wcaE,wcaF,wcaI,wcaJ,wcaL,wza,wzb,wzc,wzxC,ypdI,	colanic acid metabolic process
GO:0009242	6	13	cpsB,fcl,galE,galU,gmd,manA,mcbA,ugd,wcaJ,wzb,wzc,wzxC,ypdI,	colanic acid biosynthetic process
GO:0051156	5	13	alsK,glk,gnd,pgi,pgl,rpe,rpiA,rpiB,talA,talB,tktA,tktB,zwf,	glucose 6-phosphate metabolic process
