node	function
aaeA	4
aaeA	6,6.1
aaeB	4
aaeB	6,6.1
aaeR	2,2.2,2.2.2
aaeR	3,3.1,3.1.2,3.1.2.2
aaeR	5,5.10
aas	1,1.5,1.5.4
aas	2,2.3,2.3.3
aas	6,6.1
aat	1,1.2,1.2.3
aat	2,2.3,2.3.6
abgA	1,1.8
abgB	1,1.8
abgR	2,2.2,2.2.2
abgR	3,3.1,3.1.2
abgT	4,4.2,4.2.A
abgT	6,6.1
abpA	8,8.1
abpB	8,8.1
abrB	3,3.1,3.1.2
abrB	4,4.9.B
abrB	6,6.1
accA	1,1.5,1.5.4
accB	1,1.6,1.6.15,1.6.15.3
accC	1,1.5,1.5.4
accD	1,1.5,1.5.4
aceA	1,1.7,1.7.2
aceB	1,1.7,1.7.2
aceE	1,1.1,1.1.1
aceE	1,1.3,1.3.3
aceE	1,1.7,1.7.21
aceF	1,1.1,1.1.1
aceF	1,1.3,1.3.3
aceF	1,1.7,1.7.21
aceK	1,1.7,1.7.2
aceK	2,2.3,2.3.3
aceK	3,3.1,3.1.3,3.1.3.2
ackA	1,1.1,1.1.1
ackA	1,1.1,1.1.3
ackA	1,1.7,1.7.28
ackA	1,1.7,1.7.29
ackA	1,1.7,1.7.30
acnA	1,1.3,1.3.4
acnA	3,3.1,3.1.3
acnA	5,5.5,5.5.6
acnB	1,1.1,1.1.1
acnB	1,1.3,1.3.4
acpH	1,1.6,1.6.15,1.6.15.4
acpP	1,1.6,1.6.15,1.6.15.4
acpS	1,1.5,1.5.4
acpT	1,1.5,1.5.4
acrA	4,4.2,4.2.A
acrA	5,5.6,5.6.4
acrA	6,6.1
acrB	4,4.2
acrB	5,5.6,5.6.4
acrB	6,6.1
acrD	4,4.2
acrD	5,5.6,5.6.4
acrD	6,6.1
acrF	4,4.2,4.2.A
acrF	5,5.6,5.6.4
acrF	6,6.1
acrR	2,2.2,2.2.2
acrR	3,3.1,3.1.2,3.1.2.3
acrR	3,3.3,3.3.1
acrR	5,5.6,5.6.4
acrZ	5,5.5
acs	1,1.1,1.1.1
acs	1,1.1,1.1.2
acs	1,1.5,1.5.4
acs	1,1.7,1.7.29
actP	4,4.2,4.2.A
actP	6,6.1
ada	2,2.1,2.1.4
ada	2,2.2,2.2.2
ada	3,3.1,3.1.2,3.1.2.2
ada	3,3.1,3.1.2,3.1.2.3
ada	3,3.3,3.3.1
add	1,1.7,1.7.33
adeD	1
adeP	4,4.2,4.2.A
adeQ	4,4.2,4.2.A
adeQ	6,6.1
adhE	1,1.3,1.3.5
adhP	1,1.3,1.3.7
adiA	5,5.5,5.5.4
adiC	4,4.2,4.2.A
adiC	6,6.1
adiY	2,2.2,2.2.2
adiY	3,3.1,3.1.2,3.1.2.2
adiY	3,3.3,3.3.1
adk	1,1.5,1.5.2,1.5.2.3
adk	1,1.7,1.7.33
aegA	1
aer	3,3.1,3.1.4
aer	5,5.3
aer	6,6.1
aes	1,1.1,1.1.1
afuC	4,4.3,4.3.A,4.3.A.1
agaA	4,4.4,4.4.A
agaB	4,4.4,4.4.A
agaC	4,4.4,4.4.A
agaD	4,4.4,4.4.A
agaI	1
