source	target
GO:0003674	GO:0005215
GO:0051234	GO:0006810
GO:1901682	GO:0015546
GO:0042887	GO:0015546
GO:0042895	GO:0015546
GO:1901474	GO:0015546
GO:0042910	GO:0015546
GO:0015711	GO:0046942
GO:0015849	GO:0046942
GO:0015906	GO:1902599
GO:0006855	GO:1902599
GO:0005488	GO:0005515
GO:0016020	GO:0005886
GO:0044464	GO:0005886
GO:0005575	GO:0016020
GO:0031224	GO:0016021
GO:0006810	GO:0055085
GO:0034645	GO:0006351
GO:0097659	GO:0006351
GO:0032774	GO:0006352
GO:1903506	GO:0006355
GO:0010468	GO:0006355
GO:2000112	GO:0006355
GO:0006355	GO:0045893
GO:0010628	GO:0045893
GO:1903508	GO:0045893
GO:0032787	GO:0006631
GO:0044255	GO:0006631
GO:0090407	GO:0008654
GO:0006644	GO:0008654
GO:0044249	GO:0008654
GO:0008610	GO:0008654
GO:0008374	GO:0008779
GO:0015645	GO:0008922
GO:0044424	GO:0005737
GO:0016755	GO:0008914
GO:0140096	GO:0016755
GO:0016746	GO:0016755
GO:0008238	GO:0016805
GO:0016787	GO:0016810
GO:0042365	GO:0046657
GO:0043649	GO:0046657
GO:0042737	GO:0046657
GO:0009397	GO:0046657
GO:0046655	GO:0046657
GO:0046983	GO:0046982
GO:0016811	GO:0071713
GO:0008150	GO:0008152
GO:0003824	GO:0016787
GO:0140110	GO:0003700
GO:0022804	GO:0015291
GO:0015291	GO:0015558
GO:0005310	GO:0015558
GO:0072349	GO:0015558
GO:0071916	GO:0015558
GO:0006835	GO:0015814
GO:0072337	GO:0015814
GO:0042938	GO:0015814
GO:0098542	GO:0051607
GO:0002252	GO:0051607
GO:0009615	GO:0051607
GO:0009314	GO:0010212
GO:0044444	GO:0005829
GO:0006631	GO:0006633
GO:0072330	GO:0006633
GO:0008610	GO:0006633
GO:1990234	GO:0009329
GO:0044444	GO:0009329
GO:0006633	GO:0042759
GO:0001676	GO:0042759
GO:0005515	GO:0042802
GO:0016421	GO:0003989
GO:0016879	GO:0004075
GO:0051055	GO:0045717
GO:0042304	GO:0045717
GO:0045922	GO:0045717
GO:0031327	GO:0045717
GO:0003676	GO:0003677
GO:0003723	GO:0003729
GO:0046914	GO:0008270
GO:0034249	GO:0017148
GO:2000113	GO:0017148
GO:0010629	GO:0017148
GO:0032269	GO:0017148
GO:0006417	GO:0017148
GO:0016833	GO:0004451
GO:0046487	GO:0006097
GO:0044262	GO:0006097
GO:0043167	GO:0043169
GO:0046912	GO:0004474
GO:0016903	GO:0004738
GO:0140096	GO:0004742
GO:0016418	GO:0004742
GO:0030523	GO:0004742
GO:0006085	GO:0006086
GO:0006090	GO:0006086
GO:0032787	GO:0006090
GO:0035383	GO:0006637
GO:0006732	GO:0006637
GO:0006793	GO:0006637
GO:0016747	GO:0016407
GO:1901363	GO:0031405
GO:0097159	GO:0031405
GO:0005504	GO:0031405
GO:1901681	GO:0031405
GO:0050662	GO:0031405
GO:1990204	GO:0045254
GO:0044444	GO:0045254
GO:0008152	GO:0055114
GO:0004672	GO:0004674
GO:0140096	GO:0004721
GO:0016791	GO:0004721
GO:0004721	GO:0004722
GO:0032559	GO:0005524
GO:0008144	GO:0005524
GO:0035639	GO:0005524
GO:0006101	GO:0006099
GO:0044238	GO:0006099
GO:0006464	GO:0006470
GO:0016311	GO:0006470
GO:0004672	GO:0008772
GO:0043169	GO:0016208
GO:0043168	GO:0016208
GO:0032559	GO:0016208
GO:0008144	GO:0016208
GO:0006796	GO:0016311
GO:0006468	GO:0018105
GO:0018209	GO:0018105
GO:0065009	GO:0050790
GO:0004721	GO:0101014
GO:0032787	GO:0006083
GO:0016999	GO:0006083
GO:0016774	GO:0008776
GO:0016301	GO:0008776
GO:0072330	GO:0019413
GO:0006083	GO:0019413
GO:0017000	GO:0019413
GO:0051790	GO:0019542
GO:0019541	GO:0019542
GO:0017000	GO:0019542
GO:0051703	GO:0044011
GO:0090609	GO:0044011
GO:0003729	GO:0003730
GO:0016836	GO:0003994
GO:0046914	GO:0005506
GO:0006950	GO:0006979
GO:0045333	GO:0009061
GO:0043169	GO:0046872
GO:0051536	GO:0051539
GO:0032268	GO:0006417
GO:0010608	GO:0006417
GO:2000112	GO:0006417
GO:0034248	GO:0006417
GO:0019543	GO:0019629
GO:0016836	GO:0047456
GO:0140096	GO:0008770
GO:0008081	GO:0008770
GO:0005488	GO:0000035
GO:0044620	GO:0000036
GO:0140104	GO:0000036
GO:1901576	GO:0008610
GO:0006629	GO:0008610
GO:0008654	GO:0009245
GO:0009247	GO:0009245
