go_id	branch	name	genes	childrend	parent	color
GO:0003674	F	molecular_function	ygfM,	GO:0140104,GO:0003824,GO:0005488,GO:0090729,GO:0140110,GO:0104005,GO:0016209,GO:0031386,GO:0038024,GO:0045735,GO:0098772,GO:0045182,GO:0004871,GO:0005198,GO:0005215,	NA	lightblue
GO:0051234	NA	NA	NA	NA	NA	gray
GO:1901682	F	sulfur compound transmembrane transporter activity	yihO,	GO:0034634,GO:0090448,GO:0015225,GO:0015116,GO:0005368,GO:0000319,GO:0008521,GO:0015607,GO:0015619,GO:0000095,GO:0000100,GO:0015234,GO:1902557,GO:0090422,GO:0046964,GO:0000099,GO:0015117,GO:0015546,	GO:0022857,	lightblue
GO:0042887	NA	NA	NA	NA	NA	gray
GO:0042895	F	antibiotic transmembrane transporter activity	dtpA,mdtK,nagE,macB,dtpB,cycA,	GO:0022885,GO:0042896,GO:0015123,GO:1901242,GO:0015243,GO:0042898,GO:0015545,GO:0015547,GO:1901479,GO:0042890,GO:0015244,GO:0015499,GO:0042925,GO:0015137,GO:0015306,GO:0015638,GO:0015552,GO:0008493,GO:0015546,GO:0042897,	GO:0015238,	lightblue
GO:1901474	NA	NA	NA	NA	NA	gray
GO:0042910	NA	NA	NA	NA	NA	gray
GO:0015711	NA	NA	NA	NA	NA	gray
GO:0015849	NA	NA	NA	NA	NA	gray
GO:0015906	P	sulfathiazole transport	mdtO,mdtN,mdtP,	GO:1902599,	GO:0072348,GO:0042886,GO:0042891,GO:0045117,GO:0042908,	lightgreen
GO:0006855	P	drug transmembrane transport	acrA,ybhS,bcr,ydhC,mdtL,mdtC,acrD,mdtB,mdtA,mdlB,mdtE,ompF,mdtG,ybhR,acrE,macB,ybhF,acrB,mdlA,mdtF,mdtM,mdtN,emrD,mdfA,	GO:1901962,GO:1903803,GO:0097339,GO:0071422,GO:1903804,GO:1903401,GO:1903811,GO:1902599,GO:1903808,GO:1903352,GO:1903785,GO:1903222,GO:1990961,GO:1903092,GO:0098838,GO:1903091,GO:1905135,GO:1903088,GO:1905544,GO:0035433,GO:1903710,GO:1901477,GO:0071934,GO:0071939,GO:0035378,GO:1904983,GO:1903400,GO:0015813,GO:1903807,GO:1903090,GO:1903791,GO:0042870,GO:0006843,GO:1902270,GO:0089709,GO:0015881,GO:0080170,GO:0035445,GO:1990544,GO:1904556,GO:1904555,GO:0090514,	GO:0055085,GO:0015893,	lightgreen
GO:0005488	NA	NA	NA	NA	NA	gray
