source,target,score
AcrR,AcrR,1.0
AcrR,AdiY,0.0
AcrR,AgaR,0.0
AcrR,AppY,0.0
AcrR,AraC,0.0
AcrR,ArcA,0.0
AcrR,ArgP,0.0
AcrR,ArgR,0.0
AcrR,AscG,0.0
AcrR,AtoC,0.0
AcrR,BCCP,0.0
AcrR,BaeR,0.0
AcrR,BasR,0.0
AcrR,BetI,0.0
AcrR,CRP,0.012048192771084338
AcrR,CadC,0.0
AcrR,CaiF,0.0
AcrR,Cbl,0.0
AcrR,CdaR,0.0
AcrR,ChbR,0.0
AcrR,CpxR,0.16666666666666666
AcrR,Cra,0.08333333333333333
AcrR,CreB,0.0
AcrR,CsgD,0.0
AcrR,CueR,0.0
AcrR,CusR,0.0
AcrR,CysB,0.0
AcrR,CytR,0.0
AcrR,DcuR,0.0
AcrR,DeoR,0.0
AcrR,DgoR,0.0
AcrR,DnaA,0.0
AcrR,DpiA,0.0
AcrR,DsdC,0.0
AcrR,EvgA,0.0
AcrR,ExuR,0.0
AcrR,FNR,0.0
AcrR,FabR,0.0
AcrR,FadR,0.0
AcrR,FhlA,0.0
AcrR,Fis,0.04
AcrR,FlhDC,0.0
AcrR,FliZ,0.0
AcrR,FucR,0.0
AcrR,Fur,0.0
AcrR,GadE,0.0
AcrR,GadE-RcsB,0.0
AcrR,GadX,0.0
AcrR,GalR,0.0
AcrR,GalS,0.0
AcrR,GatR,0.0
AcrR,GcvA,0.0
AcrR,GlaR,0.0
AcrR,GlcC,0.0
AcrR,GlpR,0.0
AcrR,GlrR,0.0
AcrR,GntR,0.0
AcrR,GutM,0.0
AcrR,H-NS,0.0
AcrR,HU,0.0
AcrR,HdfR,0.0
AcrR,HipAB,0.0
AcrR,HipB,0.0
AcrR,HprR,0.0
AcrR,HyfR,0.0
AcrR,HypT,0.0
AcrR,IHF,0.0
AcrR,IclR,0.0
AcrR,IdnR,0.0
AcrR,IscR,0.0
AcrR,LacI,0.0
AcrR,LeuO,0.0
AcrR,LexA,0.0
AcrR,LldR,0.0
AcrR,Lrp,0.0
AcrR,LsrR,0.0
AcrR,MalI,0.0
AcrR,MalT,0.0
AcrR,MarA,0.25
AcrR,MarR,1.0
AcrR,McbR,0.0
AcrR,MelR,0.0
AcrR,MetJ,0.0
AcrR,MetR,0.0
AcrR,MhpR,0.0
AcrR,Mlc,0.0
